Time, Remote IP, Local Port, Protocol
16,3331304885,443,10
16,3331304885,443,10
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,918181764,443,10
17,918181764,443,10
17,918181764,443,10
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
17,3417402628,68,5
19,3149952961,80,10
19,3149952961,80,10
22,3662499618,80,10
22,3662499618,80,10
23,2732394234,443,10
23,2732394234,443,10
0,2732394234,443,10
0,2732394234,443,10
0,2732394234,443,10
0,3662499618,443,10
0,3662499618,443,10
1,2379512144,443,10
1,2379512144,443,10
1,1567150440,80,10
1,1567150440,80,10
1,3726839835,80,10
1,3726839835,80,10
1,1992306715,80,10
1,1992306715,80,10
1,1839458522,80,10
1,1839458522,80,10
2,997771015,80,10
2,997771015,80,10
2,997771015,80,10
2,997771015,80,10
4,3673200452,80,10
4,3673200452,80,10
4,1866713897,80,10
4,1866713897,80,10
5,1878074510,80,10
5,1878074510,80,10
5,1878074510,80,10
5,1878074510,80,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
6,2644468757,443,10
7,2644468757,443,10
7,2644468757,443,10
7,2644468757,443,10
7,2644468757,443,10
7,2644468757,443,10
7,2644468757,443,10
7,2644468757,443,10
7,2644468757,443,10
7,2644468757,443,10
7,2644468757,443,10
7,2644468757,443,10
7,2644468757,443,10
9,2071848971,80,10
9,2071848971,80,10
10,3093924685,53,5
11,2031911882,80,10
11,2031911882,80,10
11,1387312680,80,10
11,1387312680,80,10
11,1387312680,80,10
11,1387312680,80,10
11,1387312680,80,10
11,1387312680,80,10
11,1387312680,80,10
12,1408031962,80,10
12,1408031962,80,10
