34,    34,    2013-10-31,    15:18:26,    265,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    010106009ECC7822054600000A0BFAD700000000000000000000000068ED430985A400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501030C0F424C41434B42455252592D314141353C0A426C61636B42657272793D070168ED430985A437040103060FFF000000000000000000000000,    300
35,    35,    2013-10-31,    15:18:26,    321,    +8:00,    10.11.251.88,    68,    10.11.252.118,    67,    UDP,    RX,    010106008EB19851000080000A0BFB5800000000000000000000000090004E8122F300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501083D070190004E8122F30C07416365722D50433C084D53465420352E30370D010F03062C2E2F1F2179F92BFCFF00000000000000000000000000,    300
36,    36,    2013-10-31,    15:18:26,    876,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    010106009ECC7822054700000A0BFAD700000000000000000000000068ED430985A400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501030C0F424C41434B42455252592D314141353C0A426C61636B42657272793D070168ED430985A437040103060FFF000000000000000000000000,    300
37,    37,    2013-10-31,    15:18:28,    924,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    010106009ECC7822054900000A0BFAD700000000000000000000000068ED430985A400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501030C0F424C41434B42455252592D314141353C0A426C61636B42657272793D070168ED430985A437040103060FFF000000000000000000000000,    300
38,    38,    2013-10-31,    15:18:30,    153,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    01010600BC8DD7FAFFFF000000000000000000000000000000000000D487D8022D7D00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033D0701D487D8022D7D32040A0BFAC6390205DC3C0D64686370636420342E302E3135370B01792103060F1C333A3B77FF000000000000000000,    300
39,    39,    2013-10-31,    15:18:32,    3,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    0101060038380EB70000000000000000000000000000000000000000C0F8DA024AB900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033D0701C0F8DA024AB932040A0BFA400C0962617261746F2D5043510C00000062617261746F2D50433C084D53465420352E30370C010F03062C2E2F1F2179F92BFF,    308
40,    40,    2013-10-31,    15:18:32,    59,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    010106009ECC7822054C00000A0BFAD700000000000000000000000068ED430985A400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501030C0F424C41434B42455252592D314141353C0A426C61636B42657272793D070168ED430985A437040103060FFF000000000000000000000000,    300
41,    41,    2013-10-31,    15:18:35,    68,    +8:00,    10.11.250.64,    68,    10.11.252.118,    67,    UDP,    RX,    010106006F3D19CD000000000A0BFA40000000000000000000000000C0F8DA024AB900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501083D0701C0F8DA024AB90C0962617261746F2D50433C084D53465420352E30370D010F03062C2E2F1F2179F92BFCFF0000000000000000000000,    300
42,    42,    2013-10-31,    15:18:36,    94,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    010106009ECC7822055000000A0BFAD700000000000000000000000068ED430985A400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501030C0F424C41434B42455252592D314141353C0A426C61636B42657272793D070168ED430985A437040103060FFF000000000000000000000000,    300
43,    43,    2013-10-31,    15:18:39,    577,    +8:00,    10.11.248.185,    68,    10.11.252.118,    67,    UDP,    RX,    010106007A4DB403000000000A0BF8B9000000000000000000000000E0B9A50BD52900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501083D0701E0B9A50BD5290C084D4147414E2D50433C084D53465420352E30370D010F03062C2E2F1F2179F92BFCFF000000000000000000000000,    300
